        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:54:38 ,          99.8   ,           2394.1   ,               44.0   ,          0   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9537   ,
2023-08-22 15:54:39 ,          99.8   ,           2394.1   ,               44.0   ,          3   ,                        815   ,         0.0   ,             -   ,               49.0   ,                  9537   ,
2023-08-22 15:54:40 ,          99.8   ,           2394.1   ,               46.0   ,          5   ,                        815   ,         0.0   ,             -   ,               44.0   ,                  9537   ,
2023-08-22 15:54:41 ,          99.8   ,           2394.1   ,               46.0   ,          3   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9528   ,
        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:54:45 ,        1410.0   ,           1750.2   ,               46.5   ,        57.8   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.2   ,               13.4   ,                 18.9   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               46.0   ,                  9484   ,
2023-08-22 15:54:46 ,        1410.0   ,           1750.2   ,               46.5   ,        57.9   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.2   ,               13.4   ,                 18.9   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               47.0   ,                  9484   ,
2023-08-22 15:54:47 ,        1410.0   ,           1750.2   ,               46.6   ,        58.0   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.1   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9483   ,
2023-08-22 15:54:48 ,        1410.0   ,           1750.2   ,               46.4   ,        57.7   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.2   ,               13.5   ,                 19.0   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9482   ,
2023-08-22 15:54:49 ,        1410.0   ,           1750.2   ,               46.5   ,        57.9   ,           1158   ,          2   ,                        0   ,                   0   ,                    0   ,               30.2   ,                  11.3   ,               13.5   ,                 19.0   ,              29.0   ,             24.7   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9482   ,
2023-08-22 15:54:50 ,        1410.0   ,           1750.2   ,               46.5   ,        58.0   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9482   ,
2023-08-22 15:54:51 ,        1410.0   ,           1750.2   ,               46.4   ,        57.7   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.1   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9456   ,
2023-08-22 15:54:52 ,        1410.0   ,           1750.2   ,               46.4   ,        57.7   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.2   ,               13.5   ,                 19.0   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9467   ,
2023-08-22 15:54:53 ,        1410.0   ,           1750.2   ,               46.4   ,        57.8   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.1   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9467   ,
2023-08-22 15:54:54 ,        1410.0   ,           1750.2   ,               46.4   ,        58.1   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.1   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               46.0   ,                  9452   ,
2023-08-22 15:54:55 ,        1410.0   ,           1750.2   ,               46.3   ,        57.7   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9442   ,
2023-08-22 15:54:56 ,        1410.0   ,           1750.2   ,               46.4   ,        57.9   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.8   ,                  10.9   ,               13.4   ,                 18.9   ,              29.0   ,             24.3   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9442   ,
2023-08-22 15:54:57 ,        1410.0   ,           1750.2   ,               46.4   ,        58.0   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9441   ,
2023-08-22 15:54:58 ,        1410.0   ,           1750.2   ,               46.3   ,        57.6   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.1   ,               13.5   ,                 19.0   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9441   ,
2023-08-22 15:54:59 ,        1410.0   ,           1750.2   ,               46.3   ,        57.8   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9440   ,
2023-08-22 15:55:00 ,        1410.0   ,           1750.2   ,               46.4   ,        57.8   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9446   ,
